30201,32,20
30202,32,20
30203,32,20
30204,32,20
30205,32,20
30206,32,20
30207,32,20
30208,32,20
30209,32,20
30210,32,20
30211,32,20
30212,32,20
30214,32,20
30215,32,20
30216,32,11
30217,32,20
30218,32,20
30219,32,20
30220,32,20
30221,32,20
30223,110,
30224,32,20
30225,32,20
30226,32,20
30227,32,20
30228,32,20
30229,32,20
30231,32,20
30232,32,20
30233,32,20
30234,32,20
30235,32,20
30236,32,20
30237,32,20
30238,32,20
30239,32,20
30240,32,20
30242,32,20
30243,32,20
30244,32,20
30245,32,20
30246,32,20
30247,32,20
30248,32,20
30250,32,11
30251,32,20
30252,32,20
30253,32,20
30254,32,20
30255,59,
30257,32,20
30258,32,20
30259,32,20
30260,32,20
30261,32,20
30262,32,20
30263,32,20
30264,32,20
30266,32,20
30267,32,20
30268,32,20
30269,20,
30270,32,20
30271,32,20
30272,32,20
30273,32,11
30274,32,20
30275,32,20
30276,32,20
30277,32,20
30278,32,20
30279,32,20
30280,32,20
30281,32,20
30283,32,20
30284,32,20
30285,1,
30286,32,20
30287,32,20
30288,32,20
30289,32,20
30290,32,20
30291,32,20
30292,32,20
30293,32,20
30294,32,20
30295,32,20
30296,32,20
30297,32,20
30298,32,20
30299,32,20
30300,32,20
30301,32,20
30302,32,20
30303,32,20
30304,32,20
30305,32,20
30306,32,20
30307,32,20
30308,32,20
30309,32,20
30310,32,11
30311,32,20
30312,32,20
30313,32,20
30314,59,
30315,32,20
30316,79,
30317,32,20
30318,32,20
30319,32,20
30320,32,20
30321,32,20
30322,32,20
30323,32,20
30324,32,20
30325,32,20
30326,32,20
30327,32,20
30328,32,20
30329,32,20
30331,32,20
30332,32,20
30333,32,20
30334,32,20
30335,32,20
30336,32,20
30337,32,20
30339,45,
30340,32,20
30341,32,20
30342,32,20
30343,32,20
30344,32,20
30345,32,20
30346,32,20
30347,32,20
30348,32,20
30349,32,20
30350,32,20
30351,32,20
30352,32,20
30354,32,20
30355,32,20
30356,32,20
30357,32,20
30358,32,20
30359,32,20
30360,32,20
30361,32,20
30362,32,20
30363,32,20
30364,32,20
30365,32,20
30366,32,20
30368,32,20
30369,32,20
30371,32,20
30373,32,20
30374,32,20
30375,32,11
30376,32,20
30377,32,20
30378,20,
30379,32,20
30382,32,20
30383,32,20
30384,32,20
30385,32,20
30386,32,20
30387,32,20
30388,32,20
30389,32,20
30390,82,
30391,32,20
30392,32,20
30394,32,20
30395,32,20
30396,32,20
30397,32,20
30398,32,20
30399,32,20
30400,32,20
30401,32,20
30402,32,20
30403,32,20
30405,32,20
30406,32,20
30407,32,20
30408,32,20
30409,32,20
30410,32,20
30411,32,20
30412,32,20
30413,32,11
30414,32,20
30415,32,20
30416,32,20
30417,32,20
30418,32,20
30419,32,20
30420,32,20
30421,32,20
30422,32,20
30423,32,20
30424,32,20
30425,32,20
30427,32,20
30428,32,20
30429,32,20
30430,32,20
30432,32,20
30433,32,20
30434,32,20
30435,32,20
30436,32,20
30437,32,20
30438,32,20
30439,32,20
30440,32,20
30442,32,20
30444,32,20
30445,32,20
30446,32,20
30447,32,20
30448,32,20
30450,32,20
30451,32,20
30452,32,20
30453,32,20
30454,32,20
30455,32,20
30456,32,20
30458,32,20
30459,32,20
30460,32,20
30461,32,11
30462,32,20
30463,32,20
30464,32,20
30465,32,20
30466,32,20
30467,32,20
30468,32,20
30469,32,20
30470,32,20
30473,32,20
30474,32,20
30475,32,20
30477,32,20
30478,32,20
30479,32,20
30480,32,20
30481,32,20
30482,32,20
30483,95,
30484,32,20
30485,32,20
30486,32,20
30487,32,20
30488,32,20
30489,32,20
30490,93,
30491,32,11
30492,32,20
30493,32,20
30494,32,20
30495,32,20
30496,32,20
30497,32,20
30498,32,20
30499,32,20
30500,32,20
30501,32,20
30502,32,20
30503,32,20
30504,1,
30506,32,20
30507,32,20
30508,32,20
30509,32,20
30510,32,11
30511,32,20
30512,32,20
30513,32,20
30514,32,20
30515,32,20
30517,32,20
30518,32,20
30519,32,20
30520,32,20
30522,32,20
30523,32,11
30524,32,20
30525,32,20
30526,32,20
30527,32,20
30528,32,20
30530,32,20
30531,32,20
30532,32,20
30533,32,20
30534,32,20
30535,32,20
30536,32,20
30537,32,20
30538,32,20
30539,32,20
30540,32,20
30541,32,20
30542,32,20
30543,32,20
30544,45,
30545,32,20
30546,32,20
30548,32,20
30549,32,20
30550,32,20
30551,32,20
30552,32,20
30553,32,20
30554,32,20
30555,32,20
30556,32,20
30557,32,20
30558,32,20
30559,32,20
30560,32,20
30561,32,20
30562,32,20
30563,32,20
30564,32,20
30565,32,20
30566,32,20
30567,32,20
30568,59,
30570,32,11
30571,32,11
30572,32,20
30573,32,20
30574,32,20
30575,32,20
30576,32,20
30577,32,11
30578,32,20
30579,32,20
30580,32,20
30581,32,20
30582,32,20
30583,45,
30584,32,11
30586,32,20
30587,32,20
30588,32,20
30589,59,
30590,32,20
30591,32,20
30592,32,20
30593,32,20
30594,32,20
30595,32,20
30596,32,11
30597,32,20
30598,32,20
30599,32,11
30600,89,
30601,32,20
30602,32,20
30603,32,20
30605,32,20
30606,32,20
30607,32,20
30608,32,20
30609,32,20
30610,32,20
30611,32,11
30612,32,20
30613,32,20
30614,32,20
30617,59,
30618,32,20
30619,32,20
30620,32,20
30621,32,20
30622,32,20
30623,32,20
30624,32,20
30626,32,20
30627,32,20
30628,32,20
30629,32,20
30630,32,20
30631,32,20
30632,32,20
30633,32,20
30634,32,20
30635,32,20
30636,32,20
30637,32,20
30638,32,20
